classe,page,de,en
8,157,"da drüben, dort drüben",over there
8,157,zusammen,together
8,157,tot,dead
8,157,die Maus,"mouse, pl mice"
8,157,Als Nächstes …,Next …
8,157,"bringen, mitbringen",(to) bring
8,157,graben,(to) dig
8,157,(jn. an)bellen,(to) bark (at sb.)
8,157,aussehen,(to) look
8,157,über / mehr als 50,over 50
8,157,jemand,somebody / someone
8,157,der Enkel / die Enkelin,grandson / granddaughter
8,157,die Großeltern,grandparents (pl)
8,157,"die Mahlzeit, das Essen",meal
8,157,"Dinge, die Menschen gebrauchen/benutzen können",things that people can use
8,157,bedeuten; meinen (sagen wollen),(to) mean
8,157,das Spielzeug,toy
8,157,Liebe/r …,Dear …
8,157,das Beispiel,example
8,157,"der Titel, die Überschrift",title
8,157,"der Ausdruck, die (Rede-)Wendung",phrase
8,157,Habt ihr / Hast du (irgendwelche) Fragen?,Do you have any questions?
8,157,"fortfahren, weitermachen; (sich) fortsetzen, weitergehen",(to) continue
8,157,der Zoo,zoo
8,157,(mit dem Fahrrad) fahren,(to) ride (a bike)
8,157,Spaß machen; lustig sein,(to) be fun
8,157,das Thema,topic
8,157,genießen,(to) enjoy
8,157,"die Nachspeise, das Dessert",dessert
8,157,der Geburtstag,birthday
8,157,Herzlichen Glückwunsch zum Geburtstag.,Happy birthday!
8,157,Wann hast du Geburtstag?,When’s your birthday?
8,157,an meinem Geburtstag,on my birthday
8,157,(das) Weihnachten,Christmas
8,157,das Obst,fruit
8,157,das Gelee; der Wackelpudding,jelly
8,157,die Sahne,cream
8,157,die Erdbeere,strawberry
8,157,allergisch (gegen),allergic (to)
8,157,"russisch, Russisch; der Russe, die Russin",Russian
8,157,"indisch; der Inder, die Inderin",Indian
8,157,das Restaurant,restaurant
8,157,das Gericht (die Mahlzeit),dish
8,157,das Fleisch,meat
8,157,vegetarisch; der/die Vegetarier/in,"vegetarian, infml auch: veggie"
8,157,der Käse,cheese
8,157,die Erbse,pea
8,157,die Tomate,"tomato, pl tomatoes"
8,157,das Gewürz,spice
8,157,"normalerweise, meistens",usually
8,157,das Brot,bread
8,157,der Reis,rice
8,157,das Gemüse,vegetables (pl)
8,157,"vegan; der Veganer, die Veganerin",vegan
8,157,gesund,healthy
8,157,"die Einladung (zu, nach)",invitation (to)
8,157,"das (Brat-, Bock-)Würstchen, die Wurst",sausage
8,157,"der Kuchen, die Torte",cake
8,157,der zwölfte Geburtstag,twelfth (12th) birthday
8,157,der Zirkus,circus
8,157,jm. eine SMS schicken,(to) text sb.
8,157,die Jahreszeit; die Saison,season
8,157,das Datum,date
8,157,der erste April,the first of April (1st April)
8,157,ruhen; sich ausruhen,(to) rest
8,157,jonglieren,(to) juggle
8,157,der Ball,ball
8,157,schlafen,(to) sleep
8,157,der Moment,moment
8,157,müssen,must
8,157,stehen; sich (hin)stellen,(to) stand
8,157,"lehren, unterrichten",(to) teach
8,157,liegen,(to) lie
8,157,sitzen; sich setzen,(to) sit
8,157,"tragen, anhaben (Kleidung)",(to) wear
8,157,der Ballon,balloon
8,157,der Unterschied,difference
8,157,das Geschenk,present
8,157,der Zauberkasten,magic set
8,157,Wie wäre es mit einer/einem ... ?,What about a ... ?
8,157,sicher,sure
8,157,schon,already
8,157,das Kochbuch,recipe book
8,157,die Art (von),sort (of)
8,157,die Speisekarte,menu
8,157,der Schinken,ham
8,157,der Salat (als Gericht oder Beilage),salad
8,157,"die Möhre, die Karotte",carrot
8,157,die Melone,melon
8,157,die Limonade,lemonade
8,157,die Einkaufsliste,shopping list
8,157,"die Packung, das Päckchen",packet
8,157,die Zitrone,lemon
8,157,der Zucker,sugar
8,157,die Milch,milk
8,157,"das Stück, der/das Teil",piece
8,157,der Markt,market
8,157,das Gramm,gram (g)
8,157,das Mehl,flour
8,157,der Milliliter,millilitre (ml)
8,157,das Öl,oil
8,157,der Kakao,cocoa
8,157,das Ei,egg
8,157,das Salz,salt
8,157,der Teelöffel,teaspoon
8,157,die Vanille,vanilla
8,157,das Backpulver,baking powder
8,157,"die Glasur, der Zuckerguss",icing
8,157,die Butter,butter
8,157,die Mischung,mixture
8,157,der Backofen,oven
8,157,das/der Grad,degree (*)
8,157,hinzufügen; addieren,(to) add
8,157,etwas zerbrechen,(to) break sth.
8,157,"dekorieren, schmücken",(to) decorate
8,157,die Kultur,culture
8,157,das Hauptgericht,main course
8,157,heißen,be called
8,157,die Zwiebel,onion
8,157,"die Paprika, die Peperoni; der Pfeffer",pepper
8,157,das Huhn; das (Brat-)Hähnchen,chicken
8,157,"köstlich, lecker",delicious
8,157,die Banane,banana
8,157,der Honig,honey
8,157,die Tradition,tradition
8,157,"das Gericht aus kurz angebratenen Zutaten, z. B. kleinen Stücken Fleisch, Fisch und/oder Gemüse",stir-fry
8,157,die Nudeln,noodles (pl)
8,157,der Tee,tea
8,157,der Kaffee,coffee
8,157,"die Art (von), die Sorte (von)",kind (of)
8,157,(jm.) zuwinken,(to) wave (to sb.)
8,157,etwas gut können; gut in etwas sein,(to) be good at sth. / at doing sth.
8,157,nur; bloß; einfach,just
8,157,"kein, keine; verboten",no
8,157,"Nun, ... / Also, ... / Na ja, ...","Well, ..."
8,157,"ein wenig, ein bisschen",a little
8,157,"wahr, richtig",true
8,157,lächeln,(to) smile
8,157,erstaunlich; großartig,amazing
8,157,jm. ist dran / an der Reihe (etwas zu tun),it is sb.’s turn (to do sth.)
8,157,wie man etwas tut / tun kann / tun soll,how to do sth.
8,157,die Wassermelone,watermelon
8,157,die Kartoffel,"potato, pl potatoes"
8,157,beschreiben,(to) describe
8,157,"erforschen, untersuchen, recherchieren",(to) research
8,157,kochen (in Wasser); sieden,(to) boil
8,157,"die Einführung, die Einleitung",introduction
8,157,die Anweisung,instruction
8,157,"klar, deutlich",clear
8,157,"am Meer, an der See",at the seaside
8,157,die Türkei,Turkey
8,157,Berg,mountain
8,157,Meer,sea
8,157,Stadion,stadium
8,157,Schwimmbad,swimming pool
8,157,Spanien,Spain
8,157,Wetter,weather
8,157,vorige / letzte Woche,last week
8,157,"Schön, wieder zusammenzusein.",Nice to be together again.
8,157,"Gib mir fünf! (Aufforderung, gegen die erhobene Hand des Gegenübers zu klatschen, Geste der Freude/Begrüßung)",Give me five!
8,157,geben,give
8,157,gehen: ich ging/fuhr; ich bin gegangen/gefahren,go: I went
8,157,bleiben: ich blieb/ich bin geblieben,stay: I stayed
8,157,Leute (als Anrede verwendet),guys
8,157,gestern,yesterday
8,157,"lesen: ich las, ich habe gelesen",read: I read
8,157,"die USA, die Vereinigten Staaten",the US (= the United States)
8,157,wir hatten kein/keine …,we didn’t have a …
8,157,"einfach, leicht",easy
8,157,wir hatten; wir haben gehabt,have: we had
8,157,sie waren nicht …,they weren’t …
8,157,"streng, strikt",strict
8,157,allein(e),alone
8,157,"mittags, zur Mittagszeit",at lunchtime
8,157,ich würde/möchte gern mitmachen,I’d like to (= I would like to) join
8,157,mitmachen (bei); (einen Klub) beitreten,join
8,157,Jahr(gang),year
8,157,Abenteuer,adventure
8,157,tanzen,dance
