classe,page,de,en
9,158,das Jugendzentrum,youth centre
9,158,das Feld; die Weide,field
9,158,die Wohnsiedlung; das Gewerbegebiet,estate
9,158,die Stadt,town
9,158,verheiratet (mit),married (to)
9,158,sich kümmern um; aufpassen auf,(to) look after
9,158,"der (Haus-)Müll, der Abfall",rubbish
9,158,der (Müll-)Eimer,bin
9,158,auch,also
9,158,die Notiz; der kurze Brief,note
9,158,wie; wie zum Beispiel,like
9,158,boxen,(to) box
9,158,eine Mädchengruppe; eine Gruppe für Mädchen,a girls’ group
9,158,kaufen,(to) buy
9,158,das Dorf,village
9,158,viele,many
9,158,das Krankenhaus,hospital
9,158,die Schlittschuhbahn,ice rink
9,158,"die Bücherei, die Bibliothek",library
9,158,der Supermarkt,supermarket
9,158,das Museum,museum
9,158,das Stadion,stadium
9,158,der Bahnhof,(train) station
9,158,der/die/das größte; am größten,biggest
9,158,überall,everywhere
9,158,der Kopf,head
9,158,der Blindenhund,guide dog
9,158,"der Besucher, die Besucherin; der Gast",visitor
9,158,ein/e andere/r/s; noch ein/e,another
9,158,Deutschland,Germany
9,158,die Information(en),information
9,158,"die Imbissstube, die Fisch mit Pommes frites verkauft",fish and chip shop
9,158,warm,warm
9,158,der Sommer,summer
9,158,"Entschuldigung, … / Entschuldigen Sie, …","Excuse me, …"
9,158,etwas,something
9,158,"das Wetter, die Witterung",weather
9,158,regnerisch,rainy
9,158,sonnig,sunny
9,158,schneebedeckt; verschneit,snowy
9,158,"wolkig, bewölkt",cloudy
9,158,windig,windy
9,158,außerhalb des Pavillon,outside (the Pavilion)
9,158,kalt,cold
9,158,die Frau,"woman, pl women"
9,158,"hinauf, hoch",up
9,158,"reisen, fahren",(to) travel
9,158,"jede(r, s)",every
9,158,die Sekunde,second
9,158,"mehr, weitere",more
9,158,(an)halten; stoppen; aufhören (mit),(to) stop
9,158,kosten,(to) cost
9,158,"verkehrt herum, auf dem Kopf",upside down
9,158,"also, daher",so
9,158,teuer,expensive
9,158,der Tausch,swap
9,158,"heiß, warm",hot
9,158,etwas brauchen,(to) need sth.
9,158,etwas tun müssen,(to) need to do sth.
9,158,der Tipp,tip
9,158,etwas umdrehen,(to) turn sth. (over)
9,158,"etwas aufräumen, sauber machen",(to) clean sth. up
9,158,Willkommen in/an …,Welcome to …
9,158,sodass,so (that)
9,158,"da drüben, dort drüben",over there
9,158,zusammen,together
9,158,tot,dead
9,158,die Maus,"mouse, pl mice"
9,158,Als Nächstes …,Next …
9,158,"bringen, mitbringen",(to) bring
9,158,graben,(to) dig
9,158,(jn. an)bellen,(to) bark (at sb.)
9,158,aussehen,(to) look
9,158,über / mehr als 50,over 50
9,158,jemand,somebody / someone
9,158,der Enkel / die Enkelin,grandson / granddaughter
9,158,die Großeltern,grandparents (pl)
9,158,"die Mahlzeit, das Essen",meal
9,158,"Dinge, die Menschen gebrauchen/benutzen können",things that people can use
9,158,bedeuten; meinen (sagen wollen),(to) mean
9,158,das Spielzeug,toy
9,158,Liebe/r …,Dear …
9,158,das Beispiel,example
9,158,"der Titel, die Überschrift",title
9,158,"der Ausdruck, die (Rede-)Wendung",phrase
9,158,Habt ihr / Hast du (irgendwelche) Fragen?,Do you have any questions?
9,158,"fortfahren, weitermachen; (sich) fortsetzen, weitergehen",(to) continue
9,158,der Zoo,zoo
9,158,(mit dem Fahrrad) fahren,(to) ride (a bike)
9,158,Spaß machen; lustig sein,(to) be fun
9,158,das Thema,topic
9,158,genießen,(to) enjoy
9,158,"die Nachspeise, das Dessert",dessert
9,158,der Geburtstag,birthday
9,158,Herzlichen Glückwunsch zum Geburtstag.,Happy birthday!
9,158,Wann hast du Geburtstag?,When’s your birthday?
9,158,an meinem Geburtstag,on my birthday
9,158,(das) Weihnachten,Christmas
9,158,das Obst,fruit
9,158,das Gelee; der Wackelpudding,jelly
9,158,die Sahne,cream
9,158,die Erdbeere,strawberry
9,158,allergisch (gegen),allergic (to)
9,158,"russisch, Russisch; der Russe, die Russin",Russian
9,158,"indisch; der Inder, die Inderin",Indian
9,158,das Restaurant,restaurant
9,158,das Gericht (die Mahlzeit),dish
9,158,das Fleisch,meat
9,158,vegetarisch; der/die Vegetarier/in,"vegetarian, infml auch: veggie"
9,158,der Käse,cheese
9,158,die Erbse,pea
9,158,die Tomate,"tomato, pl tomatoes"
9,158,das Gewürz,spice
9,158,"normalerweise, meistens",usually
9,158,das Brot,bread
9,158,der Reis,rice
9,158,das Gemüse,vegetables (pl)
9,158,"vegan; der Veganer, die Veganerin",vegan
9,158,gesund,healthy
9,158,"die Einladung (zu, nach)",invitation (to)
9,158,"das (Brat-, Bock-)Würstchen, die Wurst",sausage
9,158,"der Kuchen, die Torte",cake
9,158,der zwölfte Geburtstag,twelfth (12th) birthday
9,158,der Zirkus,circus
9,158,jm. eine SMS schicken,(to) text sb.
9,158,die Jahreszeit; die Saison,season
9,158,das Datum,date
9,158,der erste April,the first of April (1st April)
9,158,ruhen; sich ausruhen,(to) rest
9,158,jonglieren,(to) juggle
9,158,der Ball,ball
9,158,schlafen,(to) sleep
9,158,der Moment,moment
9,158,müssen,must
9,158,stehen; sich (hin)stellen,(to) stand
9,158,"lehren, unterrichten",(to) teach
9,158,liegen,(to) lie
9,158,sitzen; sich setzen,(to) sit
9,158,"tragen, anhaben (Kleidung)",(to) wear
9,158,der Ballon,balloon
9,158,der Unterschied,difference
9,158,das Geschenk,present
9,158,der Zauberkasten,magic set
9,158,Wie wäre es mit einer/einem ... ?,What about a ... ?
9,158,sicher,sure
9,158,schon,already
9,158,das Kochbuch,recipe book
9,158,die Art (von),sort (of)
9,158,die Speisekarte,menu
9,158,der Schinken,ham
9,158,der Salat (als Gericht oder Beilage),salad
9,158,"die Möhre, die Karotte",carrot
9,158,die Melone,melon
9,158,die Limonade,lemonade
9,158,die Einkaufsliste,shopping list
9,158,"die Packung, das Päckchen",packet
9,158,die Zitrone,lemon
9,158,der Zucker,sugar
9,158,die Milch,milk
9,158,"das Stück, der/das Teil",piece
9,158,der Markt,market
9,158,das Gramm,gram (g)
9,158,das Mehl,flour
9,158,der Milliliter,millilitre (ml)
9,158,das Öl,oil
9,158,der Kakao,cocoa
9,158,das Ei,egg
9,158,das Salz,salt
9,158,der Teelöffel,teaspoon
9,158,die Vanille,vanilla
9,158,das Backpulver,baking powder
9,158,"die Glasur, der Zuckerguss",icing
9,158,die Butter,butter
9,158,die Mischung,mixture
9,158,der Backofen,oven
9,158,das/der Grad,degree (*)
9,158,hinzufügen; addieren,(to) add
9,158,etwas zerbrechen,(to) break sth.
9,158,"dekorieren, schmücken",(to) decorate
9,158,die Kultur,culture
9,158,das Hauptgericht,main course
9,158,heißen,be called
9,158,die Zwiebel,onion
9,158,"die Paprika, die Peperoni; der Pfeffer",pepper
9,158,das Huhn; das (Brat-)Hähnchen,chicken
9,158,"köstlich, lecker",delicious
9,158,die Banane,banana
9,158,der Honig,honey
9,158,die Tradition,tradition
9,158,"das Gericht aus kurz angebratenen Zutaten, z. B. kleinen Stücken Fleisch, Fisch und/oder Gemüse",stir-fry
9,158,die Nudeln,noodles (pl)
9,158,der Tee,tea
9,158,der Kaffee,coffee
9,158,"die Art (von), die Sorte (von)",kind (of)
9,158,(jm.) zuwinken,(to) wave (to sb.)
9,158,etwas gut können; gut in etwas sein,(to) be good at sth. / at doing sth.
9,158,nur; bloß; einfach,just
9,158,"kein, keine; verboten",no
9,158,"Nun, ... / Also, ... / Na ja, ...","Well, ..."
9,158,"ein wenig, ein bisschen",a little
